"diseaseId","diseaseName","diseaseType","diseaseClass","diseaseSemanticType","autism_subtype_broad","n_genes","is_autism"
"C2931642","Benign symmetrical lipomatosis","disease","C17;C18","Disease or Syndrome","Not Autism",1,FALSE
"C4310725","CHARCOT-MARIE-TOOTH DISEASE, AXONAL, AUTOSOMAL RECESSIVE, TYPE 2A2B","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C4015701","MECKEL SYNDROME 12","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C2674705","Osteolysis, Hereditary, Of Carpal Bones With Or Without Nephropathy","disease","C05","Disease or Syndrome","Not Autism",1,FALSE
"C0175703","Thrombocytopenia-Absent Radius Syndrome","disease","C05;C15;C16","Congenital Abnormality","Not Autism",1,FALSE
"C4310810","MIDFACE HYPOPLASIA, HEARING IMPAIRMENT, ELLIPTOCYTOSIS, AND NEPHROCALCINOSIS","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0014335","Enteritis","disease","C06","Disease or Syndrome","Not Autism",1,FALSE
"C0796022","Lujan Fryns syndrome","disease","C05;C10;C14;C16;C17","Congenital Abnormality","Not Autism",3,FALSE
"C0796094","Blepharophimosis syndrome Ohdo type","disease","C10;C11;C14;C16;C23;F01;F03","Disease or Syndrome","Not Autism",1,FALSE
"C3698541","Ohdo syndrome, Maat-Kievit-Brunner type","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C4310747","CHOLESTASIS, PROGRESSIVE FAMILIAL INTRAHEPATIC, 5","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C1836765","LIMB-GIRDLE MUSCULAR DYSTROPHY, TYPE 1G (disorder)","disease","C05;C10;C16","Disease or Syndrome","Not Autism",1,FALSE
"C0795950","Corpus callosum agenesis neuronopathy","disease","C10;C16;C23","Disease or Syndrome","Not Autism",1,FALSE
"C1862394","Atrial Fibrillation, Familial, 4","disease","C14;C23","Disease or Syndrome","Not Autism",1,FALSE
"C3150953","Long Qt Syndrome 6","disease","C14;C16;C23","Disease or Syndrome","Not Autism",1,FALSE
"C3150954","LONG QT SYNDROME 6, ACQUIRED, SUSCEPTIBILITY TO","phenotype","","Finding","Not Autism",1,FALSE
"C1837148","MYOPIA 6 (disorder)","disease","C11","Disease or Syndrome","Not Autism",1,FALSE
"C2931111","Myopia, susceptibility to","disease","C11","Disease or Syndrome","Not Autism",1,FALSE
"C4014738","MEGALENCEPHALY-POLYMICROGYRIA-POLYDACTYLY-HYDROCEPHALUS SYNDROME 2","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0339541","Goldmann-Favre syndrome (disorder)","disease","C10;C11;C16;C23","Disease or Syndrome","Not Autism",1,FALSE
"C1849394","Enhanced S-Cone Syndrome","disease","C10;C11;C16;C23","Disease or Syndrome","Not Autism",1,FALSE
"C1970163","RETINITIS PIGMENTOSA 37 (disorder)","disease","C11;C16","Disease or Syndrome","Not Autism",1,FALSE
"C2751089","Brugada Syndrome 6","disease","C14;C16","Disease or Syndrome","Not Autism",1,FALSE
"C3275476","CHONDRODYSPLASIA WITH PLATYSPONDYLY, DISTINCTIVE BRACHYDACTYLY, HYDROCEPHALY, AND MICROPHTHALMIA","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0001546","Adjustment Disorders","group","F03","Mental or Behavioral Dysfunction","Not Autism",1,FALSE
"C0011579","Reactive depression","disease","F03","Mental or Behavioral Dysfunction","Not Autism",1,FALSE
"C1522512","Transient Situational Disturbance","phenotype","F03","Mental or Behavioral Dysfunction","Not Autism",1,FALSE
"C0238190","Inclusion Body Myositis (disorder)","disease","C05;C10","Disease or Syndrome","Not Autism",1,FALSE
"C0342853","Sialuria","disease","C10;C16;C18","Disease or Syndrome","Not Autism",2,FALSE
"C0751713","Inclusion Body Myopathy, Sporadic","disease","C05;C10","Disease or Syndrome","Not Autism",1,FALSE
"C1096902","Infantile Sialic Acid Storage Disease","disease","C10;C16;C18","Disease or Syndrome","Not Autism",2,FALSE
"C1096903","Sialic Acid Storage Disease, Finnish Type (disorder)","disease","C10;C16;C18","Disease or Syndrome","Not Autism",2,FALSE
"C2931471","Sialuria, French type","disease","C10;C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C1834144","Sick Sinus Syndrome 2, Autosomal Dominant","disease","C14;C23","Disease or Syndrome","Not Autism",1,FALSE
"C2751083","Brugada Syndrome 8","disease","C14;C16","Disease or Syndrome","Not Autism",1,FALSE
"C2677879","Hypospadias 2, X-Linked","disease","C12;C13;C16","Disease or Syndrome","Not Autism",1,FALSE
"C3501858","Muscular Dystrophy, Limb-Girdle, Type 1D","disease","C05;C10;C16","Disease or Syndrome","Not Autism",1,FALSE
"C1306229","Dyschromatosis universalis","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C1836705","Pseudohyperkalemia, Familial, 2, due to Red Cell Leak","disease","C18","Disease or Syndrome","Not Autism",1,FALSE
"C3281027","MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 7","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C3809394","DYSCHROMATOSIS UNIVERSALIS HEREDITARIA 3","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C1853139","OPTIC ATROPHY 5 (disorder)","disease","C10;C11;C16","Disease or Syndrome","Not Autism",1,FALSE
"C3280660","ENCEPHALOPATHY, LETHAL, DUE TO DEFECTIVE MITOCHONDRIAL AND PEROXISOMAL FISSION","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0796280","Acromegaloid facial appearance syndrome","disease","C05;C10;C16;C17;C19","Disease or Syndrome","Not Autism",1,FALSE
"C1837839","CARDIOMYOPATHY, DILATED, 1O","disease","C14","Disease or Syndrome","Not Autism",1,FALSE
"C3279695","ATRIAL FIBRILLATION, FAMILIAL, 12","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C2678046","Mental Retardation, X-Linked, Syndromic, Turner Type","disease","C05;C10;C16;C23;F01;F03","Disease or Syndrome","Not Autism",1,FALSE
"C1850318","Omodysplasia type 1","disease","C05;C16;C23","Disease or Syndrome","Not Autism",1,FALSE
"C2936816","Micromelic dysplasia, congenital, with dislocation of radius","disease","C05;C16;C23","Disease or Syndrome","Not Autism",1,FALSE
"C1848604","USHER SYNDROME, TYPE IC","disease","C09;C10;C11;C16;C23","Disease or Syndrome","Not Autism",1,FALSE
"C1865870","Deafness, Autosomal Recessive 18","disease","C09;C10;C23","Disease or Syndrome","Not Autism",1,FALSE
"C2931207","Usher syndrome, type 1C","disease","C09;C10;C11;C16;C23","Disease or Syndrome","Not Autism",1,FALSE
"C0796135","Renpenning syndrome 1","disease","C10;C16","Disease or Syndrome","Not Autism",1,FALSE
"C4225156","MENTAL RETARDATION, AUTOSOMAL DOMINANT 34","disease","","Mental or Behavioral Dysfunction","Not Autism",1,FALSE
"C4540232","PLATELET ABNORMALITIES WITH EOSINOPHILIA AND IMMUNE-MEDIATED INFLAMMATORY DISEASE","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C1864840","Combined Oxidative Phosphorylation Deficiency 3","disease","C05;C10;C18;C23","Disease or Syndrome","Not Autism",1,FALSE
"C0399368","Amelogenesis Imperfecta, Type IB","disease","C07;C16","Disease or Syndrome","Not Autism",1,FALSE
"C2673923","Amelogenesis Imperfecta, Type Ic","disease","C07;C16","Disease or Syndrome","Not Autism",1,FALSE
"C4015124","MIRROR MOVEMENTS 3","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C1842026","GLAUCOMA 1, OPEN ANGLE, E","disease","C11","Disease or Syndrome","Not Autism",1,FALSE
"C3150692","AMYOTROPHIC LATERAL SCLEROSIS 12","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C3806634","DEAFNESS, DYSTONIA, AND CEREBRAL HYPOMYELINATION","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C2678483","Long Qt Syndrome 11","disease","C14;C16;C23","Disease or Syndrome","Not Autism",1,FALSE
"C0268553","Hyperlysinemias","disease","C10;C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C0268555","Hyperlysinemia, Periodic","disease","C10;C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C0268556","Saccharopinuria","disease","C10;C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C0936256","Lysine Alpha-Ketoglutarate Reductase Deficiency Disease","disease","C10;C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C1527317","Alpha-Aminoadipic Semialdehyde Deficiency Disease","disease","C10;C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C2936921","Saccharopine dehydrogenase deficiency","disease","C10;C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C1845543","Mental Retardation, X-Linked, with Epilepsy","disease","C10;C16","Disease or Syndrome","Not Autism",1,FALSE
"C3806722","PARKINSONISM WITH SPASTICITY, X-LINKED","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0343073","Wooly hair","phenotype","","Finding","Not Autism",5,FALSE
"C0345427","Woolly hair, congenital","disease","C17","Congenital Abnormality","Not Autism",5,FALSE
"C1848435","WOOLLY HAIR, AUTOSOMAL RECESSIVE 1, WITH OR WITHOUT HYPOTRICHOSIS","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C3279470","HYPOTRICHOSIS 8","disease","C17","Disease or Syndrome","Not Autism",1,FALSE
"C1853942","CITRULLINEMIA, TYPE II, NEONATAL-ONSET","disease","C10;C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C1863844","Adult-onset citrullinemia type 2","disease","C10;C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C0268540","HHH syndrome","disease","C10;C16;C18;C23","Disease or Syndrome","Not Autism",1,FALSE
"C0495499","Congenital absence, atresia and stricture of auditory canal (external)","disease","","Congenital Abnormality","Not Autism",1,FALSE
"C1842937","AURAL ATRESIA, CONGENITAL","disease","C16","Disease or Syndrome","Not Autism",1,FALSE
"C2910118","Congenital atresia or stricture of osseous meatus","disease","","Congenital Abnormality","Not Autism",1,FALSE
"C1832736","CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Id","disease","C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C1835923","Retinitis Pigmentosa 31","disease","C11;C16","Disease or Syndrome","Not Autism",1,FALSE
"C0031046","Pericarditis","disease","C14","Disease or Syndrome","Not Autism",1,FALSE
"C1167732","Pleuropericarditis","disease","C14","Disease or Syndrome","Not Autism",1,FALSE
"C1859690","CAMPTODACTYLY-ARTHROPATHY-COXA VARA-PERICARDITIS SYNDROME","disease","C05;C16;C23","Disease or Syndrome","Not Autism",1,FALSE
"C0796095","Opitz trigonocephaly syndrome","disease","C05;C10;C16;C23;F01;F03","Disease or Syndrome","Not Autism",1,FALSE
"C4225226","COENZYME Q10 DEFICIENCY, PRIMARY, 8","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0206687","Carcinoma, Endometrioid","disease","C04;C13;C19","Neoplastic Process","Not Autism",1,FALSE
"C1569637","Adenocarcinoma, Endometrioid","disease","C04;C13;C19","Neoplastic Process","Not Autism",1,FALSE
"C3714739","Mesothelial Neoplasms","group","C04","Neoplastic Process","Not Autism",1,FALSE
"C4014584","BLEEDING DISORDER, PLATELET-TYPE, 18","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C1854990","Molybdenum Cofactor Deficiency, Complementation Group C","disease","C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C4225194","IgA NEPHROPATHY, SUSCEPTIBILITY TO, 3","phenotype","","Finding","Not Autism",1,FALSE
"C0265245","Nager syndrome","disease","C05;C16","Disease or Syndrome","Not Autism",1,FALSE
"C1860119","Acrofacial dysostosis Rodriguez type","disease","C05;C16","Disease or Syndrome","Not Autism",1,FALSE
"C0022904","Lacrimal Apparatus Diseases","group","C11","Disease or Syndrome","Not Autism",1,FALSE
"C0152227","Excessive tearing","disease","C11","Disease or Syndrome","Not Autism",1,FALSE
"C1970027","Hypertelorism, Severe, With Midface Prominence, Myopia, Mental Retardation, And Bone Fragility","disease","C05;C10;C11;C16;C23;F01;F03","Disease or Syndrome","Not Autism",1,FALSE
"C0917990","Acro-Osteolysis","disease","C05","Disease or Syndrome","Not Autism",1,FALSE
"C1837756","MANDIBULOACRAL DYSPLASIA WITH TYPE B LIPODYSTROPHY","disease","C05;C16;C17;C18","Disease or Syndrome","Not Autism",1,FALSE
"C4014261","SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 16","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C4539951","MENTAL RETARDATION, AUTOSOMAL DOMINANT 47","disease","","Mental or Behavioral Dysfunction","Not Autism",1,FALSE
"C0043020","Wallerian Degeneration","phenotype","C23","Cell or Molecular Dysfunction","Not Autism",4,FALSE
"C0876926","Traumatic Brain Injury","group","C10;C26","Injury or Poisoning","Not Autism",2,FALSE
"C3280587","AMYOTROPHIC LATERAL SCLEROSIS 16, JUVENILE","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C1855188","Metaphyseal Chondrodysplasia with Retinitis Pigmentosa","disease","C05;C11;C16","Disease or Syndrome","Not Autism",1,FALSE
"C4014814","MYOPATHY, CENTRONUCLEAR, 5","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C4225212","SECKEL SYNDROME 9","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C3554078","BRANCHED-CHAIN KETO ACID DEHYDROGENASE KINASE DEFICIENCY","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0175695","Sotos' syndrome","disease","C16","Disease or Syndrome","Not Autism",3,FALSE
"C4015525","LISSENCEPHALY 6 WITH MICROCEPHALY","disease","","Congenital Abnormality","Not Autism",1,FALSE
"C4014534","CILIARY DYSKINESIA, PRIMARY, 29","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C1850127","Osteopetrosis, Autosomal Recessive 1","disease","C05","Disease or Syndrome","Not Autism",1,FALSE
"C3279875","CORTICAL MALFORMATIONS, OCCIPITAL","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C4225173","IMMUNODEFICIENCY, COMMON VARIABLE, 13","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0032987","Ectopic Pregnancy","phenotype","C13","Pathologic Function","Not Autism",1,FALSE
"C3810384","NEMALINE MYOPATHY 9","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C3554381","MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 10","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C1858338","Neuropathy, hereditary motor and sensory, Okinawa type","disease","C10;C16","Disease or Syndrome","Not Autism",1,FALSE
"C3714897","SPASTIC PARAPLEGIA 57, AUTOSOMAL RECESSIVE","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C3809536","VENTRICULAR TACHYCARDIA, CATECHOLAMINERGIC POLYMORPHIC, 5, WITH OR WITHOUT MUSCLE WEAKNESS","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C1837149","Alzheimer Disease 9","disease","C10;F03","Disease or Syndrome","Not Autism",1,FALSE
"C4540192","NEURODEVELOPMENTAL DISORDER, MITOCHONDRIAL, WITH ABNORMAL MOVEMENTS AND LACTIC ACIDOSIS, WITH OR WITHOUT SEIZURES","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C3810285","MYOPATHY WITH EXTRAPYRAMIDAL SIGNS","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C3280284","MENTAL RETARDATION, AUTOSOMAL DOMINANT 10","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0344730","Atrial Septal Defect Sinus Venosus","disease","C14;C16","Congenital Abnormality","Not Autism",1,FALSE
"C3280790","ATRIAL SEPTAL DEFECT 8","disease","","Congenital Abnormality","Not Autism",1,FALSE
"C3554021","HYPOGONADOTROPIC HYPOGONADISM 16 WITH OR WITHOUT ANOSMIA","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C2748801","FIBROSIS OF EXTRAOCULAR MUSCLES, CONGENITAL, 3A, WITH OR WITHOUT EXTRAOCULAR INVOLVEMENT","disease","C10;C11;C16;C23","Disease or Syndrome","Not Autism",1,FALSE
"C3808397","CORTICAL DYSPLASIA, COMPLEX, WITH OTHER BRAIN MALFORMATIONS 1","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C1851943","DYSTONIA 4, TORSION, AUTOSOMAL DOMINANT (disorder)","disease","C10;C16","Disease or Syndrome","Not Autism",1,FALSE
"C1860315","Whispering dysphonia, hereditary","disease","C08;C09;C10;C16;C23","Disease or Syndrome","Not Autism",1,FALSE
"C2676244","Leukodystrophy, Hypomyelinating, 6","disease","C10;C16;C18","Disease or Syndrome","Not Autism",2,FALSE
"C0206658","Smooth Muscle Tumor","disease","C04","Neoplastic Process","Not Autism",1,FALSE
"C1832334","CHARCOT-MARIE-TOOTH DISEASE, TYPE 4D","disease","C10;C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C0035585","Rickettsia Infections","group","C01","Disease or Syndrome","Not Autism",1,FALSE
"C0162699","Tick-Borne Infections","disease","C01;C02;C03","Disease or Syndrome","Not Autism",1,FALSE
"C0162700","Tick-Borne Diseases","group","C01;C02;C03","Disease or Syndrome","Not Autism",1,FALSE
"C0795902","Coloboma, cleft lip-palate and mental retardation syndrome","disease","C05;C07;C09;C10;C11;C12;C13;C16;C23;F01;F03","Disease or Syndrome","Not Autism",1,FALSE
"C3805432","COLOBOMA, OCULAR, WITH OR WITHOUT HEARING IMPAIRMENT, CLEFT LIP/PALATE, AND/OR MENTAL RETARDATION","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C1859405","Bowen-Conradi syndrome","disease","C10;C13;C16;C23;F01","Disease or Syndrome","Not Autism",1,FALSE
"C0340970","Congenital neutropenia","disease","C15","Congenital Abnormality","Not Autism",2,FALSE
"C1853118","Severe congenital neutropenia","phenotype","C15","Disease or Syndrome","Not Autism",2,FALSE
"C4310652","FANCONI ANEMIA, COMPLEMENTATION GROUP V","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C3151228","RETINITIS PIGMENTOSA 38 (disorder)","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C4539828","BIRK-LANDAU-PEREZ SYNDROME","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0000821","Threatened abortion","phenotype","C13","Pathologic Function","Not Autism",1,FALSE
"C3150876","COG5 congenital disorder of glycosylation","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C2676727","Chromosome 1q43-Q44 Deletion Syndrome","disease","C10;C16;C23;F01;F03","Disease or Syndrome","Not Autism",1,FALSE
"C3808184","MENTAL RETARDATION, AUTOSOMAL DOMINANT 22","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C4273897","Distal monosomy 1q","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C1846130","Mental retardation X-linked, South African type","disease","C10;C16","Disease or Syndrome","Not Autism",1,FALSE
"C2678194","Mental Retardation, X-Linked, Syndromic, Christianson Type","disease","C05;C10;C11;C16;C23;F01;F03","Disease or Syndrome","Not Autism",1,FALSE
"C0002876","Congenital dyserythropoietic anemia","disease","C15;C16","Disease or Syndrome","Not Autism",4,FALSE
"C0271933","Congenital dyserythropoietic anemia, type I","disease","C15;C16","Disease or Syndrome","Not Autism",4,FALSE
"C1306589","Congenital dyserythropoietic anemia, type II","disease","C15;C16","Disease or Syndrome","Not Autism",4,FALSE
"C4225179","COWDEN SYNDROME 7","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C1843042","Craniolenticulosutural Dysplasia","disease","C05;C16","Disease or Syndrome","Not Autism",1,FALSE
"C1853162","Osteogenesis Imperfecta Type VII","disease","C05;C16;C17","Disease or Syndrome","Not Autism",1,FALSE
"C2931095","Osteogenesis imperfecta, type 7","disease","C05;C16;C17","Disease or Syndrome","Not Autism",1,FALSE
"C0268351","Cutis Laxa, Autosomal Recessive, Type I","disease","C16;C17","Congenital Abnormality; Disease or Syndrome","Not Autism",2,FALSE
"C0432336","Cutis laxa, recessive, type I","disease","","Congenital Abnormality","Not Autism",2,FALSE
"C1837187","MACULAR DEGENERATION, AGE-RELATED, 3","disease","C11","Disease or Syndrome","Not Autism",1,FALSE
"C2931134","Cutis laxa, recessive","disease","C16;C17","Disease or Syndrome","Not Autism",1,FALSE
"C3665335","Cutis laxa, autosomal recessive","disease","C16;C17","Disease or Syndrome","Not Autism",1,FALSE
"C4225406","NEUROPATHY, HEREDITARY, WITH OR WITHOUT AGE-RELATED MACULAR DEGENERATION","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C1836199","DEAFNESS, AUTOSOMAL RECESSIVE 48","disease","C09;C10;C23","Disease or Syndrome","Not Autism",1,FALSE
"C3553944","USHER SYNDROME, TYPE IJ","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C4014414","MENTAL RETARDATION, AUTOSOMAL DOMINANT 24","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C4310683","DYSKINESIA, SEIZURES, AND INTELLECTUAL DEVELOPMENTAL DISORDER","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C3472711","Spinocerebellar ataxia 36","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C1835912","AICARDI-GOUTIERES SYNDROME 4","disease","C10;C16;C20","Disease or Syndrome","Not Autism",1,FALSE
"C1720862","Congenital Generalized Lipodystrophy Type 1","disease","C16;C17;C18","Disease or Syndrome","Not Autism",2,FALSE
"C1720863","Congenital Generalized Lipodystrophy Type 2","disease","C16;C17;C18","Congenital Abnormality","Not Autism",2,FALSE
"C1970344","Congenital Disorder Of Glycosylation, Type IIF","disease","C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C0342287","Thiamine responsive megaloblastic anemia syndrome","disease","C09;C10;C15;C18;C19;C23","Congenital Abnormality","Not Autism",1,FALSE
"C0155912","Pulmonary Alveolar Microlithiasis","disease","C08;C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C1864873","Testicular Microlithiasis","disease","C12;C19;C23","Disease or Syndrome","Not Autism",1,FALSE
"C1843366","NIEMANN-PICK DISEASE, TYPE C2","disease","C10;C15;C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C3150415","MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH MENTAL RETARDATION), TYPE B, 1","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C4014540","MICROPHTHALMIA/COLOBOMA AND SKELETAL DYSPLASIA SYNDROME","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C1838702","Retinitis Pigmentosa 13","disease","C11;C16","Disease or Syndrome","Not Autism",1,FALSE
"C0220991","Rotor Syndrome","disease","C16;C18","Disease or Syndrome","Not Autism",2,FALSE
"C4284588","SPASTIC PARAPLEGIA 62, AUTOSOMAL RECESSIVE","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C4014605","POLYGLUCOSAN BODY MYOPATHY 1 WITH OR WITHOUT IMMUNODEFICIENCY","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C3280296","Microcephaly-capillary malformation syndrome","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C4310709","EPILEPSY, FAMILIAL FOCAL, WITH VARIABLE FOCI 2","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C2678346","Diarrhea 3, Secretory Sodium, Congenital, Syndromic","disease","C16;C18;C23","Disease or Syndrome","Not Autism",1,FALSE
"C3150926","Congenital dyserythropoietic anemia type IV","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C3809686","MENTAL RETARDATION, AUTOSOMAL DOMINANT 21","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C3554168","COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 14","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C4310750","SPASTIC PARAPLEGIA 77, AUTOSOMAL RECESSIVE","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C4310678","LANGUAGE DELAY AND ATTENTION DEFICIT-HYPERACTIVITY DISORDER/COGNITIVE IMPAIRMENT WITH OR WITHOUT CARDIAC ARRHYTHMIA","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C4310682","INTELLECTUAL DEVELOPMENTAL DISORDER WITH CARDIAC ARRHYTHMIA","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0263627","Calcinosis universalis","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0282102","Chondrodysplasia punctata, X-linked dominant type","disease","C05","Disease or Syndrome","Not Autism",1,FALSE
"C4085243","MEND SYNDROME","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C3151482","HYPERCALCIURIA, CHILDHOOD, SELF-LIMITING","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C3281288","PREECLAMPSIA/ECLAMPSIA 5","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C4015619","EPILEPSY, PROGRESSIVE MYOCLONIC, 8","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C2931816","Chromosome 2, monosomy 2q24","disease","C23","Cell or Molecular Dysfunction","Not Autism",1,FALSE
"C3279738","SPASTIC PARAPLEGIA 47, AUTOSOMAL RECESSIVE","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C4310628","OPTIC ATROPHY 11","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C3502492","Microcephaly with Chorioretinopathy, Autosomal Recessive","disease","C05;C10;C11;C16","Disease or Syndrome","Not Autism",3,FALSE
"C3810367","PREMATURE OVARIAN FAILURE 8","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0700201","Dyssomnias","group","C10;F03","Disease or Syndrome","Not Autism",1,FALSE
"C0752288","Adjustment Sleep Disorder","disease","C10;F03","Mental or Behavioral Dysfunction","Not Autism",1,FALSE
"C0752289","Environmental Sleep Disorder","disease","C10;F03","Disease or Syndrome","Not Autism",1,FALSE
"C0752291","Limit-Setting Sleep Disorder","disease","C10;F03","Mental or Behavioral Dysfunction","Not Autism",1,FALSE
"C0752292","Nocturnal Eating-Drinking Syndrome","disease","C10;F03","Mental or Behavioral Dysfunction","Not Autism",1,FALSE
"C0752293","Sleep Disorders, Extrinsic","disease","C10;F03","Disease or Syndrome","Not Autism",1,FALSE
"C2931246","Potocki-Lupski syndrome","disease","C16;C23","Disease or Syndrome","Not Autism",2,FALSE
"C3661485","17p11.2 Monosomy","disease","C10;C16","Cell or Molecular Dysfunction","Not Autism",1,FALSE
"C4225255","YUAN-HAREL-LUPSKI SYNDROME","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0014742","Erythema Multiforme","disease","C17","Disease or Syndrome","Not Autism",1,FALSE
"C3151085","MASP2 Deficiency","disease","C20","Disease or Syndrome","Not Autism",1,FALSE
"C1969796","ATAXIA, SPASTIC, 2, AUTOSOMAL RECESSIVE (disorder)","disease","C10;C16;C23","Disease or Syndrome","Not Autism",1,FALSE
"C3279754","PSORIASIS 13, SUSCEPTIBILITY TO","disease","","Finding","Not Autism",1,FALSE
"C3714992","CANDIDIASIS, FAMILIAL, 8","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C4015167","MENTAL RETARDATION, AUTOSOMAL DOMINANT 30","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C2675207","URIC ACID CONCENTRATION, SERUM, QUANTITATIVE TRAIT LOCUS 4","phenotype","","Finding","Not Autism",1,FALSE
"C0007862","Cervico-Brachial Neuralgia","disease","C10","Disease or Syndrome","Not Autism",1,FALSE
"C0085920","Brachial Neuralgia","disease","C10","Disease or Syndrome","Not Autism",1,FALSE
"C0221759","Brachial Plexus Neuritis","disease","C10","Disease or Syndrome","Not Autism",1,FALSE
"C1510479","Neuralgic Amyotrophy","disease","C10","Disease or Syndrome","Not Autism",1,FALSE
"C1834304","AMYOTROPHY, HEREDITARY NEURALGIC","disease","C10","Disease or Syndrome","Not Autism",1,FALSE
